Subject ID,LDA Dimension 1,LDA Dimension 2
1,6.92,-2.49
2,9.14,-1.72
3,7.36,-3.24
4,7.76,-2.3
5,7.99,-1.68
6,6.66,-2.15
7,7.0,-1.69
8,5.93,-3.06
9,5.41,-1.1
10,7.37,-3.82
11,1.74,-1.89
12,5.96,-2.42
13,6.67,-1.78
14,5.49,-2.58
15,9.04,-1.91
16,5.62,-1.22
17,6.3,-0.38
18,8.16,-3.97
19,8.1,-2.36
20,6.2,-2.01
21,8.78,-1.28
22,11.56,-3.83
23,7.49,-7.56
24,8.08,-4.74
25,9.93,-4.6
26,9.53,-2.77
27,10.64,-4.05
28,10.26,-5.01
29,8.52,-2.7
30,9.05,-4.79
31,10.92,-2.83
32,6.93,-3.46
33,10.05,-3.05
34,7.66,-5.47
35,9.05,-6.48
36,8.45,-5.4
37,11.14,-2.68
38,11.26,0.18
39,12.74,-2.23
40,12.99,-1.9
41,14.45,-1.07
42,13.06,-1.59
43,13.42,0.0
44,13.37,-1.1
45,12.19,-0.33
46,11.94,-1.08
47,14.31,-0.85
48,13.07,-0.61
49,12.89,0.39
