Subject ID,LDA Dimension 1,LDA Dimension 2
1,0.4,3.03
2,0.06,8.87
3,1.77,6.84
4,-10.0,8.54
5,0.52,2.36
6,-1.77,9.42
7,0.97,3.8
8,-2.4,0.48
9,-5.05,10.52
10,-8.11,1.91
11,-3.76,6.06
12,-10.25,0.63
13,-0.58,1.82
14,-8.92,0.78
15,-5.99,-0.57
16,-2.19,6.66
17,5.28,-4.61
18,3.61,-7.32
19,10.63,-15.41
20,0.85,-6.88
21,1.98,-2.72
22,-3.34,-7.18
23,-1.91,-6.17
24,4.13,-3.91
25,7.58,5.89
26,5.17,1.66
27,4.94,1.81
28,6.25,3.53
29,10.47,6.6
30,9.4,-1.66
31,5.48,-2.44
32,5.02,4.39
33,1.96,-0.13
34,2.84,7.27
35,9.1,6.56
36,5.42,-1.93
37,5.71,-0.02
38,4.72,-0.3
39,3.39,-1.16
40,11.33,-6.62
41,8.22,5.98
42,6.5,5.42
43,4.67,5.3
44,9.95,-0.18
