Subject ID,LDA Dimension 1,LDA Dimension 2
1,-0.5,1.79
2,-1.17,0.72
3,-0.41,2.91
4,-1.33,0.47
5,-2.31,-2.54
6,-2.82,0.7
7,-1.17,2.09
8,-2.11,0.54
9,-4.55,-3.51
10,-4.26,-1.16
11,-3.5,-1.16
12,-3.06,-3.22
13,-3.67,-2.6
14,-6.3,-0.46
15,-1.46,0.95
16,-3.98,0.91
17,-0.21,0.73
18,-6.42,-1.05
19,-1.43,-0.73
20,2.71,0.28
21,0.89,0.83
22,0.72,0.47
23,0.6,-0.18
24,0.93,-1.25
25,-0.61,-2.34
26,2.42,-1.83
27,3.3,-4.88
28,1.34,-4.9
29,1.63,-1.8
30,-0.15,-0.26
31,1.56,-1.34
32,0.52,-3.82
33,1.59,-2.58
34,0.6,0.02
35,0.94,0.26
36,-0.66,-6.9
37,2.33,2.09
38,0.97,1.57
39,2.58,2.05
40,8.16,-0.33
41,1.22,1.84
42,1.26,1.35
43,1.65,2.43
44,2.81,1.06
